iter	Passed	Remaining
0	3	1813
1	9	2411
2	14	2442
3	16	2061
4	19	1913
5	22	1887
6	24	1710
7	26	1611
8	31	1691
9	33	1645
10	37	1675
11	40	1661
12	44	1665
13	46	1627
14	49	1600
15	50	1523
16	53	1513
17	56	1512
18	59	1498
19	62	1493
20	65	1489
21	67	1474
22	71	1491
23	74	1473
24	77	1476
25	80	1465
26	84	1481
27	88	1492
28	92	1494
29	94	1485
30	98	1485
31	102	1491
32	105	1497
33	107	1472
34	110	1467
35	113	1466
36	117	1467
37	121	1472
38	123	1464
39	127	1462
40	129	1455
41	134	1466
42	137	1464
43	141	1463
44	143	1452
45	147	1454
46	150	1449
47	154	1456
48	158	1455
49	160	1445
50	162	1433
51	166	1436
52	168	1424
53	171	1416
54	174	1413
55	177	1409
56	180	1403
57	184	1404
58	189	1414
59	195	1430
60	201	1449
61	204	1443
62	207	1441
63	210	1437
64	215	1444
65	220	1451
66	226	1461
67	228	1453
68	234	1463
69	235	1449
70	239	1448
71	242	1444
72	245	1438
73	250	1440
74	252	1430
75	256	1430
76	259	1426
77	264	1428
78	266	1422
79	268	1411
80	271	1402
81	274	1398
82	277	1394
83	281	1392
84	284	1388
85	287	1383
86	289	1375
87	292	1370
88	293	1356
89	296	1352
90	300	1348
91	303	1344
92	305	1338
93	309	1336
94	312	1333
95	315	1327
96	318	1322
97	321	1317
98	324	1314
99	327	1308
100	331	1307
101	334	1305
102	337	1302
103	341	1300
104	343	1290
105	346	1289
106	349	1282
107	352	1277
108	354	1272
109	358	1269
110	362	1271
111	364	1264
112	366	1256
113	370	1252
114	372	1246
115	374	1239
116	379	1241
117	382	1238
118	385	1235
119	389	1232
120	392	1228
121	394	1220
122	396	1214
123	398	1209
124	402	1206
125	404	1199
126	405	1192
127	409	1191
128	413	1189
129	414	1179
130	417	1177
131	420	1171
132	423	1169
133	428	1169
134	431	1165
135	434	1162
136	437	1158
137	439	1151
138	444	1153
139	447	1150
140	451	1149
141	453	1144
142	457	1142
143	461	1139
144	464	1136
145	468	1134
146	471	1131
147	476	1132
148	479	1128
149	482	1125
150	485	1122
151	490	1123
152	494	1121
153	497	1117
154	500	1113
155	503	1111
156	508	1111
