iter	Accuracy	Logloss
0	0.808988764	0.6653805704
1	0.8146067416	0.6383014006
2	0.8132022472	0.6178270313
3	0.8146067416	0.6013964835
4	0.8146067416	0.5844341964
5	0.8216292135	0.5696360126
6	0.8174157303	0.5575716229
7	0.8202247191	0.5455310457
8	0.8244382022	0.5295486402
9	0.8216292135	0.5226516502
10	0.8300561798	0.50805655
11	0.8300561798	0.4968908658
12	0.827247191	0.4862815949
13	0.8328651685	0.4807865264
14	0.8356741573	0.4755006841
15	0.8328651685	0.4723084085
16	0.8328651685	0.4675509481
17	0.8342696629	0.4609259018
18	0.8370786517	0.4516125754
19	0.8370786517	0.4442584507
20	0.8412921348	0.4392747391
21	0.8398876404	0.4344302027
22	0.8412921348	0.4290843007
23	0.8426966292	0.4254148242
24	0.8426966292	0.4215219423
25	0.8426966292	0.4175005998
26	0.8426966292	0.4152792971
27	0.8412921348	0.411867023
28	0.8426966292	0.409239871
29	0.8441011236	0.4071681633
30	0.8426966292	0.4061543044
31	0.8525280899	0.4016107868
32	0.8539325843	0.3980822576
33	0.8511235955	0.3975571577
34	0.8525280899	0.3954042266
35	0.8511235955	0.3921412569
36	0.8525280899	0.3908287213
37	0.8525280899	0.3897617624
38	0.8525280899	0.387891447
39	0.856741573	0.3860217122
40	0.8581460674	0.3840791843
41	0.8581460674	0.3828454548
42	0.856741573	0.3816502337
43	0.856741573	0.3786182409
44	0.8595505618	0.3766712544
45	0.8595505618	0.3749675003
46	0.8581460674	0.3741305726
47	0.8609550562	0.3713300731
48	0.8595505618	0.3710573208
49	0.8581460674	0.3705681368
50	0.8609550562	0.3699774635
51	0.8581460674	0.3688833229
52	0.8623595506	0.3684816174
53	0.8609550562	0.3674012704
54	0.8609550562	0.3648541254
55	0.8609550562	0.3633761345
56	0.8595505618	0.3626118916
57	0.8595505618	0.3625022076
58	0.8623595506	0.3611426376
59	0.8665730337	0.359725373
60	0.8693820225	0.357377295
61	0.8693820225	0.3558676479
62	0.8778089888	0.3528611573
63	0.8792134831	0.3517017228
64	0.8764044944	0.3503202569
65	0.8764044944	0.3486135856
66	0.8792134831	0.3470966355
67	0.8792134831	0.3455907415
68	0.8792134831	0.3444976488
69	0.8792134831	0.3443462475
70	0.8778089888	0.3435981872
71	0.8792134831	0.3424607872
72	0.8806179775	0.3417855633
73	0.8806179775	0.3402613679
74	0.8792134831	0.3398403798
75	0.8792134831	0.3387930179
76	0.8778089888	0.3372970913
77	0.8778089888	0.3366350491
78	0.8806179775	0.3360682299
79	0.8806179775	0.3360631648
80	0.8820224719	0.3359601432
81	0.8820224719	0.3348651953
82	0.8820224719	0.3340732155
83	0.8820224719	0.3338243325
84	0.8834269663	0.332412144
85	0.8848314607	0.3316468035
86	0.8848314607	0.3304596433
87	0.8848314607	0.329538515
88	0.8848314607	0.3295241656
89	0.8848314607	0.3292733273
90	0.8862359551	0.3286995295
91	0.8862359551	0.3283183204
92	0.8876404494	0.3271546806
93	0.8890449438	0.3251290341
94	0.8876404494	0.3244726024
95	0.8862359551	0.3229945792
96	0.8862359551	0.3218963675
97	0.8876404494	0.3206371785
98	0.8876404494	0.3188854242
99	0.8876404494	0.3181552578
100	0.8876404494	0.3173024993
101	0.8876404494	0.3165959582
102	0.8876404494	0.3154204932
103	0.8876404494	0.3149971015
104	0.8876404494	0.3149970756
105	0.8904494382	0.3136006824
106	0.8904494382	0.3124215253
107	0.8890449438	0.3112682329
108	0.8890449438	0.310678333
109	0.8904494382	0.3102646596
110	0.8904494382	0.3093306218
111	0.8918539326	0.3087174721
112	0.8918539326	0.308447067
113	0.8918539326	0.3078916242
114	0.8904494382	0.3077602073
115	0.8904494382	0.3071187599
116	0.8904494382	0.3066078492
117	0.8904494382	0.3062028548
118	0.8918539326	0.3054893133
119	0.8918539326	0.3050010106
120	0.8918539326	0.3047387462
121	0.8918539326	0.3047337935
122	0.8918539326	0.3038159937
123	0.8918539326	0.303344982
124	0.893258427	0.3022161744
125	0.893258427	0.302059675
126	0.893258427	0.3019395938
127	0.893258427	0.3009935895
128	0.893258427	0.3002377585
129	0.893258427	0.3002377571
130	0.893258427	0.2997406301
131	0.893258427	0.2994231422
132	0.8918539326	0.2985225865
133	0.8918539326	0.2982050315
134	0.8918539326	0.2973641481
135	0.8918539326	0.2971648372
136	0.8918539326	0.2967284648
137	0.893258427	0.2965895657
138	0.8960674157	0.2961955613
139	0.8960674157	0.2954612004
140	0.8960674157	0.2942522388
141	0.8960674157	0.292463032
142	0.8960674157	0.2916371878
143	0.8960674157	0.2913405268
144	0.8960674157	0.2909202467
145	0.8960674157	0.2905275337
146	0.8960674157	0.2889989367
147	0.8960674157	0.2883441553
148	0.8974719101	0.2874105352
149	0.8974719101	0.2867806715
150	0.8988764045	0.2849662635
151	0.8988764045	0.284072463
152	0.8988764045	0.2833945236
153	0.8988764045	0.2825537032
154	0.9002808989	0.2815194657
155	0.9016853933	0.2806597399
156	0.9016853933	0.2800720257
157	0.9016853933	0.2799004576
158	0.9016853933	0.2793566242
159	0.9016853933	0.2792320698
160	0.9016853933	0.278326837
161	0.9030898876	0.27747866
162	0.9016853933	0.2766764199
163	0.9016853933	0.2757137046
164	0.9016853933	0.2750660196
165	0.9058988764	0.2742356244
166	0.9058988764	0.2740384156
167	0.9073033708	0.2735669653
168	0.9087078652	0.2726946024
169	0.9087078652	0.2720473913
170	0.9087078652	0.2717697351
171	0.9101123596	0.2713210626
172	0.9087078652	0.2703708491
173	0.9087078652	0.2698038486
174	0.9087078652	0.2693435459
175	0.9101123596	0.2686496313
176	0.9101123596	0.2686004291
177	0.9115168539	0.2676656207
178	0.9115168539	0.2664489612
179	0.9129213483	0.2656387547
180	0.9129213483	0.2652802368
181	0.9129213483	0.2650910216
182	0.9129213483	0.2646961172
183	0.9129213483	0.2642355143
184	0.9129213483	0.2634599966
185	0.9143258427	0.2627579915
186	0.9143258427	0.2615232488
187	0.9143258427	0.261091352
188	0.9157303371	0.2606659892
189	0.9157303371	0.2603889508
190	0.9171348315	0.2599185307
191	0.9171348315	0.2592780675
192	0.9171348315	0.2585670761
193	0.9171348315	0.2576004255
194	0.9171348315	0.2573617436
195	0.9171348315	0.2570726887
196	0.9171348315	0.2562305296
197	0.9171348315	0.2555649087
198	0.9171348315	0.2544260237
199	0.9171348315	0.2540064101
200	0.9171348315	0.2535155617
201	0.9171348315	0.2525512633
202	0.9171348315	0.2522798007
203	0.9171348315	0.2521139598
204	0.9157303371	0.2510283285
205	0.9171348315	0.2501303817
206	0.9157303371	0.249202481
207	0.9157303371	0.248656129
208	0.9157303371	0.2485029103
209	0.9157303371	0.2480043364
210	0.9171348315	0.247323917
211	0.9185393258	0.2469099857
212	0.9185393258	0.2464070819
213	0.9185393258	0.2461939093
214	0.9199438202	0.2458379333
215	0.9213483146	0.2454041709
216	0.9213483146	0.2445248227
217	0.9213483146	0.2439855114
218	0.9213483146	0.2430423471
219	0.9213483146	0.2426169449
220	0.9213483146	0.2424049041
221	0.9213483146	0.2420464257
222	0.9199438202	0.2414793029
223	0.9199438202	0.2406054047
224	0.9199438202	0.2399391767
225	0.9199438202	0.239370199
226	0.9213483146	0.2387054641
227	0.922752809	0.237877994
228	0.922752809	0.2370054259
229	0.922752809	0.2363774577
230	0.922752809	0.2352549144
231	0.922752809	0.2351005812
232	0.922752809	0.2347485437
233	0.922752809	0.2344829134
234	0.922752809	0.23420594
235	0.922752809	0.2337467389
236	0.9241573034	0.2332215395
237	0.9241573034	0.2328410213
238	0.922752809	0.2326364563
239	0.9241573034	0.2325482602
240	0.9255617978	0.2322192123
241	0.9255617978	0.2319236451
242	0.9255617978	0.2315288989
243	0.9241573034	0.2313210435
244	0.9241573034	0.2307436606
245	0.9255617978	0.2300335281
246	0.9255617978	0.2297836002
247	0.9255617978	0.2288674127
248	0.9241573034	0.228433331
249	0.9241573034	0.2283702048
250	0.922752809	0.227816055
251	0.9241573034	0.227082171
252	0.9241573034	0.2268310193
253	0.9241573034	0.2265052652
254	0.9241573034	0.2263367334
255	0.9241573034	0.225937759
256	0.9241573034	0.225691231
257	0.9241573034	0.225019016
258	0.9241573034	0.2248938733
259	0.9241573034	0.2246846373
260	0.9255617978	0.2232491269
261	0.9255617978	0.2227881715
262	0.9255617978	0.2220432787
263	0.9255617978	0.2215554193
264	0.9255617978	0.2209887356
265	0.9255617978	0.2204364745
266	0.9255617978	0.2202543693
267	0.9255617978	0.2201222069
268	0.9283707865	0.2189423489
269	0.9283707865	0.2184955857
270	0.9283707865	0.2175248134
271	0.9283707865	0.2170203707
272	0.9283707865	0.2167198
273	0.9283707865	0.2165327702
274	0.9283707865	0.2162773861
275	0.9283707865	0.2158933216
276	0.9283707865	0.2155138454
277	0.9297752809	0.2145213014
278	0.9283707865	0.2139561005
279	0.9283707865	0.213217563
280	0.9283707865	0.2130713091
281	0.9297752809	0.2122203069
282	0.9297752809	0.2118402295
283	0.9297752809	0.2116928646
284	0.9311797753	0.2107388465
285	0.9311797753	0.2101321595
286	0.9325842697	0.2096839255
287	0.933988764	0.2092098896
288	0.933988764	0.2089502292
289	0.933988764	0.2085256508
290	0.9325842697	0.2081106572
291	0.9325842697	0.2076771358
292	0.933988764	0.2070271075
293	0.933988764	0.2062219958
294	0.9353932584	0.2057372453
295	0.9367977528	0.2054341356
296	0.9367977528	0.2051130365
297	0.9353932584	0.2046752946
298	0.9353932584	0.2042676362
299	0.9367977528	0.2041048374
300	0.9353932584	0.2036626463
301	0.9353932584	0.2032749162
302	0.9353932584	0.2027876822
303	0.9367977528	0.2026358497
304	0.9353932584	0.2021604358
305	0.9382022472	0.2012259464
306	0.9382022472	0.2007561315
307	0.9367977528	0.200147821
308	0.9382022472	0.1998136605
309	0.9367977528	0.1993525343
310	0.9382022472	0.1989552102
311	0.9396067416	0.1988403896
312	0.9396067416	0.1984351878
313	0.9396067416	0.1983451369
314	0.9396067416	0.1977035828
315	0.941011236	0.196764228
316	0.941011236	0.1964037169
317	0.941011236	0.195999273
318	0.941011236	0.1948306053
319	0.941011236	0.1946788606
320	0.941011236	0.1943689418
321	0.941011236	0.1942501715
322	0.941011236	0.1939803545
323	0.9424157303	0.1936959863
324	0.9424157303	0.1934729945
325	0.9424157303	0.1925604417
326	0.9424157303	0.1924382006
327	0.9424157303	0.1922264089
328	0.9424157303	0.1913876623
329	0.9438202247	0.1912292177
330	0.9438202247	0.1911048809
331	0.9438202247	0.190457066
332	0.9438202247	0.1897735498
