iter	Accuracy	Logloss
0	0.8143459916	0.6635599667
1	0.811533052	0.6436046411
2	0.8101265823	0.6232281807
3	0.8129395218	0.6018494728
4	0.8129395218	0.5821691269
5	0.8143459916	0.5689578623
6	0.8171589311	0.5539256185
7	0.8171589311	0.5420774022
8	0.8157524613	0.533246578
9	0.8255977496	0.5184244552
10	0.8255977496	0.5097370663
11	0.8241912799	0.496057045
12	0.8213783404	0.4887903918
13	0.8213783404	0.4831205062
14	0.8255977496	0.4753108373
15	0.8227848101	0.4677298328
16	0.8255977496	0.4600164002
17	0.8227848101	0.4528536579
18	0.8241912799	0.4467966127
19	0.8255977496	0.4421429881
20	0.8241912799	0.4375899775
21	0.8255977496	0.4329992117
22	0.8270042194	0.429438556
23	0.8326300985	0.425650242
24	0.8326300985	0.424513878
25	0.8312236287	0.420204445
26	0.8340365682	0.4152115916
27	0.8326300985	0.4109918554
28	0.8340365682	0.4086827344
29	0.8326300985	0.4080382237
30	0.835443038	0.4055045282
31	0.835443038	0.4036180825
32	0.8396624473	0.3987319499
33	0.8396624473	0.3957345384
34	0.841068917	0.3931095921
35	0.841068917	0.3906270173
36	0.8424753868	0.3873031567
37	0.841068917	0.3849903722
38	0.8396624473	0.3837277444
39	0.841068917	0.3833172207
40	0.841068917	0.3818106519
41	0.841068917	0.3792111457
42	0.8452883263	0.3768223472
43	0.8466947961	0.3752144557
44	0.8495077356	0.373554247
45	0.8495077356	0.3715092377
46	0.8523206751	0.3700090964
47	0.8523206751	0.3687722111
48	0.8523206751	0.3673023753
49	0.8565400844	0.3658505015
50	0.8593530239	0.3644399574
51	0.8593530239	0.3636086701
52	0.8551336146	0.3607493179
53	0.8579465541	0.3584148767
54	0.8593530239	0.3551652149
55	0.8593530239	0.3541616803
56	0.8607594937	0.3527271273
57	0.8607594937	0.351621163
58	0.8635724332	0.3507175835
59	0.8677918425	0.3491646522
60	0.8663853727	0.3481623049
61	0.8677918425	0.3457557549
62	0.8691983122	0.3447286837
63	0.870604782	0.3441903838
64	0.870604782	0.3429691804
65	0.8691983122	0.341148331
66	0.8691983122	0.3396822405
67	0.8691983122	0.3389280239
68	0.8720112518	0.3365045765
69	0.8720112518	0.3354815218
70	0.8720112518	0.3351680051
71	0.8720112518	0.3339405462
72	0.8720112518	0.3331706311
73	0.8720112518	0.3323495201
74	0.870604782	0.3311188934
75	0.8720112518	0.3300387966
76	0.8734177215	0.3294627647
77	0.8748241913	0.3274067116
78	0.8748241913	0.3269031383
79	0.8776371308	0.325807531
80	0.876230661	0.3249671248
81	0.8776371308	0.3237143917
82	0.8748241913	0.3231468915
83	0.8804500703	0.3224452547
84	0.8804500703	0.3212586261
85	0.8818565401	0.3205963586
86	0.8804500703	0.3198763308
87	0.8832630098	0.3193088419
88	0.8832630098	0.3185877892
89	0.8846694796	0.3181411355
90	0.8832630098	0.3180251929
91	0.8818565401	0.317713234
92	0.8832630098	0.3168450484
93	0.8832630098	0.3160424011
94	0.8832630098	0.3154642375
95	0.8818565401	0.3148476053
96	0.8846694796	0.3131188557
97	0.8832630098	0.3122188109
98	0.8832630098	0.31204636
99	0.8860759494	0.3105678195
100	0.8860759494	0.3100359525
101	0.8860759494	0.3097296285
102	0.8860759494	0.3094613208
103	0.8860759494	0.3090729247
104	0.8860759494	0.3085851824
105	0.8860759494	0.3077082706
106	0.8860759494	0.3071128138
107	0.8874824191	0.3059460402
108	0.8874824191	0.3051178997
109	0.8888888889	0.3044350231
110	0.8888888889	0.3037916548
111	0.8874824191	0.3032429101
112	0.8902953586	0.302137844
113	0.8888888889	0.3012346547
114	0.8888888889	0.3001304613
115	0.8888888889	0.3001303593
116	0.8888888889	0.300082809
117	0.8902953586	0.2990269852
118	0.8917018284	0.2976258662
119	0.8902953586	0.2974724126
120	0.8902953586	0.2972160852
121	0.8902953586	0.2967331665
122	0.8902953586	0.2957564507
123	0.8902953586	0.2956314076
124	0.8902953586	0.2954051489
125	0.8917018284	0.2947196018
126	0.8931082982	0.2940688734
127	0.8931082982	0.2932104605
128	0.8931082982	0.2932102363
129	0.8945147679	0.2920491719
