iter	Passed	Remaining
0	3	1989
1	6	1661
2	9	1506
3	11	1467
4	14	1422
5	18	1516
6	20	1446
7	25	1539
8	28	1567
9	32	1578
10	33	1505
11	36	1474
12	40	1503
13	42	1484
14	44	1440
15	47	1437
16	52	1485
17	55	1493
18	59	1493
19	60	1455
20	64	1476
21	68	1482
22	71	1474
23	72	1434
24	74	1422
25	75	1379
26	76	1343
27	80	1362
28	84	1368
29	88	1381
30	92	1395
31	96	1408
32	99	1404
33	101	1397
34	104	1383
35	106	1372
36	108	1359
37	111	1355
38	113	1345
39	118	1360
40	122	1369
41	125	1370
42	134	1430
43	140	1460
44	144	1462
45	147	1455
46	150	1449
47	153	1447
48	156	1445
49	159	1439
50	163	1436
51	165	1429
52	169	1433
53	173	1436
54	177	1435
55	180	1432
56	183	1428
57	186	1422
58	191	1434
59	198	1453
60	200	1441
61	206	1460
62	213	1482
63	219	1497
64	226	1513
65	233	1538
66	240	1553
67	246	1568
68	251	1568
69	255	1570
70	258	1562
71	261	1556
72	264	1549
73	268	1543
74	271	1539
75	273	1524
76	276	1518
77	279	1514
78	283	1508
79	284	1495
80	287	1488
81	291	1488
82	298	1499
83	301	1492
84	302	1476
85	305	1471
86	307	1460
87	310	1451
88	314	1454
89	316	1444
90	321	1446
91	325	1443
92	329	1440
93	332	1436
94	334	1427
95	337	1418
96	340	1414
97	343	1408
98	346	1402
99	349	1396
100	352	1392
101	354	1381
102	356	1374
103	359	1369
104	362	1365
105	365	1357
106	367	1351
107	370	1344
108	372	1337
109	375	1331
110	378	1328
111	381	1323
112	384	1317
113	387	1311
114	389	1304
115	392	1298
116	395	1294
117	397	1285
118	400	1282
119	403	1278
120	406	1274
121	409	1269
122	411	1262
123	414	1256
124	418	1255
125	419	1246
126	421	1238
127	424	1233
128	428	1232
129	432	1229
130	435	1226
131	438	1221
132	441	1217
133	443	1211
134	447	1208
135	450	1204
136	453	1200
137	455	1196
138	456	1186
139	460	1183
140	463	1179
141	465	1173
142	469	1171
143	472	1167
144	476	1166
145	478	1161
146	481	1156
147	484	1152
148	487	1147
149	492	1149
150	495	1145
151	498	1142
152	501	1138
153	505	1134
154	508	1130
155	511	1126
156	514	1125
157	518	1121
158	521	1117
159	524	1115
160	528	1112
161	531	1108
162	537	1111
163	544	1115
164	549	1116
165	554	1115
166	559	1115
167	565	1117
168	568	1112
169	572	1110
