iter	Accuracy	Logloss
390	0.9676511955	0.1479592139
391	0.9690576653	0.1475548369
392	0.9690576653	0.1470865164
393	0.970464135	0.146571269
394	0.970464135	0.1462920659
395	0.9690576653	0.1459456477
396	0.9676511955	0.1454601417
397	0.970464135	0.1450798967
398	0.9690576653	0.1449603916
399	0.9690576653	0.1448044163
400	0.9690576653	0.1445333515
401	0.9690576653	0.1444040127
402	0.970464135	0.1440849855
403	0.970464135	0.1436207521
404	0.970464135	0.1433605813
405	0.970464135	0.1429827926
406	0.9718706048	0.1426582143
407	0.9718706048	0.1422498336
408	0.9718706048	0.1418960744
409	0.9718706048	0.141414551
410	0.9732770745	0.1407834824
411	0.9732770745	0.1404825532
412	0.9732770745	0.1401546783
413	0.9732770745	0.1399878411
414	0.9732770745	0.1393492173
415	0.9732770745	0.1388995556
416	0.9732770745	0.1388292288
417	0.9732770745	0.1381910489
418	0.9732770745	0.1379121308
419	0.9732770745	0.137744295
420	0.9732770745	0.1375836802
421	0.9732770745	0.1370248768
422	0.9732770745	0.1368752692
423	0.9732770745	0.1367055609
424	0.9732770745	0.1363225661
425	0.9732770745	0.1360316461
426	0.9732770745	0.1355256385
427	0.9732770745	0.1353502274
428	0.9732770745	0.1351368012
429	0.9732770745	0.1349288784
430	0.9732770745	0.1346023044
431	0.9732770745	0.1344342296
432	0.9732770745	0.1342052205
433	0.9732770745	0.1340348487
434	0.9732770745	0.1338550844
435	0.9732770745	0.1335202596
436	0.9732770745	0.1330225582
437	0.9732770745	0.1329605152
438	0.9746835443	0.1327458956
439	0.9732770745	0.1324402605
440	0.9746835443	0.1318203852
441	0.9746835443	0.1315528125
442	0.9746835443	0.1312493104
443	0.9746835443	0.1311491757
444	0.9760900141	0.1307020718
445	0.9760900141	0.1306137808
446	0.9760900141	0.1304473644
447	0.9760900141	0.1301839674
448	0.9760900141	0.1301607763
449	0.9760900141	0.1300622266
450	0.9760900141	0.1295327194
451	0.9760900141	0.129278961
452	0.9760900141	0.129032655
453	0.9760900141	0.1288127698
454	0.9760900141	0.1286680606
455	0.9760900141	0.1283243057
456	0.9760900141	0.1279690347
457	0.9760900141	0.1276074462
458	0.9774964838	0.1274056274
459	0.9774964838	0.1271447675
460	0.9760900141	0.1268863327
461	0.9760900141	0.1263767104
462	0.9760900141	0.1262006417
463	0.9760900141	0.1260309659
464	0.9760900141	0.1259214762
465	0.9774964838	0.1258060279
466	0.9774964838	0.1256412806
467	0.9774964838	0.1255036059
468	0.9760900141	0.1252818797
469	0.9774964838	0.1252322175
470	0.9774964838	0.1249584696
471	0.9774964838	0.1247536209
472	0.9774964838	0.1242745511
473	0.9774964838	0.1242030451
474	0.9774964838	0.1240885068
475	0.9774964838	0.1238560023
476	0.9774964838	0.1236616834
477	0.9774964838	0.1232956573
478	0.9774964838	0.1231499164
479	0.9774964838	0.1230978075
480	0.9774964838	0.1230027277
481	0.9774964838	0.1225300542
482	0.9774964838	0.122342187
483	0.9774964838	0.1216730006
484	0.9774964838	0.1214391164
485	0.9774964838	0.1213833486
486	0.9774964838	0.121077144
487	0.9774964838	0.1208367411
488	0.9774964838	0.1206587701
489	0.9774964838	0.1204695954
490	0.9774964838	0.1202602273
491	0.9774964838	0.1201517781
492	0.9774964838	0.1198202866
493	0.9774964838	0.1190213829
494	0.9774964838	0.1187042559
495	0.9774964838	0.1185176458
496	0.9774964838	0.1184568978
497	0.9774964838	0.1182443816
498	0.9774964838	0.1180680107
499	0.9774964838	0.1179777033
