iter	Logloss
0	0.6890455114
1	0.6845261102
2	0.680680449
3	0.6764898453
4	0.6720203471
5	0.6683430031
6	0.6649785035
7	0.6614742184
8	0.6580454061
9	0.6547699861
10	0.6519128295
11	0.6484971016
12	0.6459350394
13	0.6422872162
14	0.6388634798
15	0.6354587315
16	0.6321636454
17	0.6286841294
18	0.6249733986
19	0.6221995876
20	0.6198551651
21	0.6169301817
22	0.6145259152
23	0.6114157692
24	0.6086947886
25	0.6057713358
26	0.6037256643
27	0.6006582236
28	0.5979035119
29	0.5948173254
30	0.5923575589
31	0.5904078515
32	0.5880885025
33	0.5854625957
34	0.5829512311
35	0.5814984467
36	0.5794247872
37	0.577136391
38	0.5747149771
39	0.5727261707
40	0.5704518611
41	0.5684421027
42	0.5663640092
43	0.5642683783
44	0.5621613887
45	0.5601634308
46	0.5583838019
47	0.5561822704
48	0.5541738518
49	0.5524492526
50	0.5509010572
51	0.5486413126
52	0.5476711318
53	0.5464766851
54	0.5448919008
55	0.5430007752
56	0.5417785026
57	0.5398024915
58	0.5381082131
59	0.5365994295
60	0.5346007658
61	0.5327526144
62	0.5312202195
63	0.5293254405
64	0.5276963116
65	0.5264399066
66	0.5249918144
67	0.5237474693
68	0.5224891314
69	0.5209633229
70	0.5195775165
71	0.5181478348
72	0.5167214932
73	0.5153539005
74	0.5142175264
75	0.5129095522
76	0.5114116135
77	0.5106651655
78	0.5090660495
79	0.5079783414
80	0.5066253289
81	0.5054732447
82	0.5045734487
83	0.5032799647
84	0.5026931696
85	0.5021123319
86	0.5007940943
87	0.5003048296
88	0.4987142252
89	0.4977117623
90	0.4962518869
91	0.4949627245
92	0.4937349903
93	0.492986476
94	0.4917136483
95	0.4905962474
96	0.4898452814
97	0.488629961
98	0.4873234917
99	0.4862184558
100	0.4852833278
101	0.4840059647
102	0.4830206982
103	0.4819834278
104	0.4809933789
105	0.4804548788
106	0.4796943384
107	0.4785600761
108	0.4781285425
109	0.4769655088
110	0.4761569943
111	0.4753136931
112	0.4744014367
113	0.4740810912
114	0.4738375473
115	0.4730612619
116	0.4721940628
117	0.4714730787
118	0.4709952547
119	0.4702603297
120	0.4692925161
121	0.4686118089
122	0.4678534713
123	0.4671864633
124	0.4664065134
125	0.465870517
126	0.465552183
127	0.4648530974
128	0.4642374401
129	0.4635437079
130	0.4624730712
131	0.4614936241
132	0.4607839977
133	0.4601431585
134	0.4596941904
135	0.4591140643
136	0.4582615348
137	0.4575916377
138	0.4569365471
139	0.4561520006
140	0.4557429249
141	0.4552422775
142	0.4546310146
143	0.4537106122
144	0.4527535679
145	0.4518245596
146	0.4510233821
147	0.4503267359
148	0.4496834865
149	0.4490509783
150	0.4482736133
151	0.4476125597
152	0.4469593242
153	0.4462596745
154	0.4454005307
155	0.4446814582
156	0.4440943578
157	0.4435000626
158	0.4426654024
159	0.4417904051
160	0.4407480088
161	0.4398599255
162	0.439342207
163	0.4387060085
164	0.4381934358
165	0.4375617365
166	0.436667349
167	0.4359533964
168	0.4351996453
169	0.4346084577
170	0.4339853313
171	0.4332901986
172	0.432749886
173	0.4317058197
174	0.4314412627
175	0.4307465995
176	0.4299274327
177	0.4289483679
178	0.4279627243
179	0.4273077146
180	0.4267554343
181	0.4260426657
182	0.4255256862
183	0.4249359436
184	0.424677037
185	0.4240269142
186	0.4234300496
187	0.4222413639
188	0.4213847978
189	0.4209639608
190	0.4205822071
191	0.420072973
192	0.4194297331
193	0.4189745152
194	0.4184156392
195	0.4179369576
196	0.4174648069
197	0.4168274902
198	0.4164396604
199	0.4158908104
200	0.415126025
201	0.4146296854
202	0.4136972699
203	0.41307064
204	0.4124919511
205	0.411928809
206	0.4116946745
207	0.4113216094
208	0.4113064178
209	0.4108314478
210	0.4101938736
211	0.4098197602
212	0.4094431795
213	0.4089446789
214	0.4083166221
215	0.4077070797
216	0.4072093718
217	0.4063889941
218	0.4056642917
219	0.4051132963
220	0.4046430961
221	0.403994233
222	0.4034342713
223	0.4030741439
224	0.4024721634
225	0.4020980949
226	0.4016297743
227	0.4007684324
228	0.4002375638
229	0.3998357875
230	0.3993452531
231	0.3989142079
232	0.398187534
233	0.3978124931
234	0.3977390591
235	0.3973864645
236	0.3967411161
237	0.396331603
238	0.3959780252
239	0.3954701485
240	0.3949421995
241	0.3945665116
242	0.3941159456
243	0.3936188004
244	0.3929468731
245	0.3924214979
246	0.39190121
247	0.391484523
248	0.3910454427
249	0.3904494832
250	0.3899791085
251	0.3897420469
252	0.389289322
253	0.388958232
254	0.3887565475
255	0.3880861683
256	0.3876348392
257	0.3874790883
258	0.3868966128
259	0.3865131194
260	0.3858958993
261	0.3853398728
262	0.3849151889
263	0.3846375196
264	0.3842935423
265	0.3838479397
266	0.3835768392
267	0.382924723
268	0.382489157
269	0.3820179968
270	0.3816442479
271	0.3811059573
272	0.3805818598
273	0.3801061483
274	0.3795199068
275	0.3790648459
276	0.3785760836
277	0.3781834855
278	0.3777457642
279	0.3770567093
280	0.3766441414
281	0.3760827333
282	0.3756698139
283	0.3751697455
284	0.3747867754
285	0.3746138146
286	0.3741722324
287	0.373680656
288	0.3733041128
289	0.3725230822
290	0.3719691284
291	0.3719482353
292	0.37161534
293	0.3710899225
294	0.370782275
295	0.3704411425
296	0.3700409786
297	0.3696126207
298	0.3690658593
299	0.3685561288
300	0.3681882657
301	0.3680871966
302	0.367543853
303	0.3671191697
304	0.3665777208
305	0.3660639077
306	0.3656216008
307	0.3653319879
308	0.3649326092
309	0.3646259152
310	0.3641097881
311	0.3637511462
312	0.3637345789
313	0.3631598755
314	0.3628765905
315	0.3622989521
316	0.3620519696
317	0.36174056
318	0.3616357051
319	0.3610559845
320	0.3607157278
321	0.36034883
322	0.3598542956
323	0.3595334748
324	0.358906247
325	0.3584895582
326	0.35816774
327	0.3578625466
328	0.3575938741
329	0.3571635917
330	0.3568151046
331	0.3559792134
332	0.3555698151
333	0.3551514668
334	0.3545858252
335	0.3541947859
336	0.3538546036
337	0.3535687395
338	0.3532812558
339	0.3530344385
340	0.352302582
341	0.3520953313
342	0.3517409103
343	0.3513973983
344	0.3511466065
345	0.3507327709
346	0.3503893454
347	0.3498305323
348	0.3494717628
349	0.3491391721
350	0.3486578283
351	0.3483080887
352	0.3477219756
353	0.3470414087
354	0.346593266
355	0.346341241
356	0.345861797
357	0.3455784288
358	0.3452084493
359	0.3446986715
360	0.3441655156
361	0.3436791824
362	0.3429905448
363	0.3424174003
364	0.3421273185
365	0.3418520091
366	0.3414116124
367	0.3410150664
368	0.3405574594
369	0.34003443
370	0.3397882588
371	0.3395659093
372	0.3392923165
373	0.3388014676
374	0.3385329107
375	0.3382212263
376	0.3379581026
377	0.3377293099
378	0.3373352142
379	0.3368445501
380	0.3365399654
381	0.336283733
382	0.3356610675
383	0.3354092442
384	0.3351442848
385	0.3346350721
386	0.3345173904
387	0.334160727
388	0.3338908233
389	0.3335422853
390	0.3332574806
391	0.332972296
392	0.3324783681
393	0.3321149176
394	0.3319149732
395	0.3314647698
396	0.331083236
397	0.3309669623
398	0.3304892537
399	0.3301292853
400	0.329848051
401	0.3294850868
402	0.3288759269
403	0.3285266873
404	0.3282402867
405	0.3278695764
406	0.3276167399
407	0.3273353519
408	0.3270078663
409	0.326630777
410	0.3263785486
411	0.3258750907
412	0.3254972564
413	0.3250491346
414	0.3248679211
415	0.3246835448
416	0.3242939774
417	0.323712334
418	0.3234265876
419	0.3230139166
420	0.322775531
421	0.3222243965
422	0.3220055184
