iter	Accuracy	Logloss
0	0.8185654008	0.6646064885
1	0.8241912799	0.6439792712
2	0.8199718706	0.6250886453
3	0.8213783404	0.6056303562
4	0.8241912799	0.5805651467
5	0.8241912799	0.5611048438
6	0.8227848101	0.5519645395
7	0.8255977496	0.5404988895
8	0.8298171589	0.5257258513
9	0.8284106892	0.5162009873
10	0.8312236287	0.5035920731
11	0.8312236287	0.4947658989
12	0.8298171589	0.4867478919
13	0.8298171589	0.478715719
14	0.8312236287	0.4676990988
15	0.8326300985	0.4608880334
16	0.8326300985	0.4548258526
17	0.8312236287	0.4493523554
18	0.8326300985	0.4450358822
19	0.8368495077	0.43714329
20	0.835443038	0.43153069
21	0.8396624473	0.4249712747
22	0.841068917	0.4206176823
23	0.841068917	0.4182282509
24	0.841068917	0.4154579556
25	0.8424753868	0.413405543
26	0.8438818565	0.4076824435
27	0.8481012658	0.4046756823
28	0.8495077356	0.4014339704
29	0.8481012658	0.397200467
30	0.8523206751	0.3952895561
31	0.8495077356	0.3921249285
32	0.8481012658	0.3885413126
33	0.8509142053	0.3869808228
34	0.8523206751	0.3836421125
35	0.8509142053	0.3812496163
36	0.8551336146	0.3783142236
37	0.8579465541	0.3754627797
38	0.8607594937	0.3736113797
39	0.8579465541	0.3701386293
40	0.8621659634	0.3655060227
41	0.8579465541	0.3636311101
42	0.8607594937	0.3610241942
43	0.8565400844	0.3582126822
44	0.8565400844	0.3576345119
45	0.8565400844	0.3560403903
46	0.8565400844	0.3543721436
47	0.8593530239	0.3520468069
48	0.8579465541	0.3517335402
49	0.8593530239	0.3504512629
50	0.8593530239	0.3498906196
51	0.8593530239	0.3490377562
52	0.8593530239	0.3482743815
53	0.864978903	0.3453173898
54	0.8663853727	0.3440525385
55	0.8663853727	0.3432859581
56	0.870604782	0.3415377096
57	0.870604782	0.3411225702
58	0.8691983122	0.3403825165
59	0.870604782	0.3382948264
60	0.8720112518	0.3369542986
61	0.8734177215	0.3351021117
62	0.8748241913	0.3348222482
63	0.8776371308	0.3337256773
64	0.876230661	0.3323912243
65	0.876230661	0.3319125835
66	0.8818565401	0.3307441709
67	0.8790436006	0.3287345728
68	0.8804500703	0.3287161372
69	0.8790436006	0.3271322445
70	0.8818565401	0.325678283
71	0.8832630098	0.3246645483
72	0.8846694796	0.323354774
73	0.8846694796	0.3230560367
74	0.8860759494	0.3225583872
75	0.8846694796	0.3218160931
76	0.8832630098	0.3216145186
77	0.8860759494	0.3200135232
78	0.8846694796	0.3190444409
79	0.8860759494	0.3186089604
80	0.8860759494	0.3185922664
81	0.8874824191	0.3163009983
82	0.8888888889	0.315360721
83	0.8917018284	0.3134988207
84	0.8917018284	0.3126046212
85	0.8917018284	0.311999954
86	0.8888888889	0.3111550061
87	0.8902953586	0.3099860713
88	0.8902953586	0.3093838624
89	0.8917018284	0.3082152757
90	0.8917018284	0.3075187656
91	0.8902953586	0.3074679649
92	0.8888888889	0.306954114
93	0.8902953586	0.3059090009
94	0.8931082982	0.305238995
95	0.8917018284	0.3044771303
96	0.8917018284	0.3037468404
97	0.8917018284	0.3031705485
98	0.8931082982	0.3021543276
99	0.8945147679	0.3007970062
100	0.8959212377	0.2999111745
101	0.8973277075	0.2986377117
102	0.8973277075	0.2985080966
103	0.8973277075	0.297808199
104	0.8959212377	0.2966032763
105	0.8959212377	0.2944687738
106	0.8987341772	0.2936590649
107	0.8987341772	0.2934200903
108	0.8973277075	0.2928691876
109	0.8973277075	0.2923682305
110	0.8973277075	0.2923389126
111	0.8987341772	0.2907977646
112	0.8987341772	0.2904489296
113	0.900140647	0.2897168632
114	0.900140647	0.2897168631
115	0.900140647	0.2894744155
116	0.8987341772	0.289229067
117	0.8987341772	0.289074732
118	0.8987341772	0.28807874
119	0.8987341772	0.2877532687
120	0.8973277075	0.286669547
121	0.8973277075	0.2865749418
122	0.8973277075	0.286449622
123	0.8987341772	0.2852099477
124	0.8987341772	0.2847413764
125	0.8987341772	0.2843697738
126	0.8987341772	0.2843560327
127	0.8987341772	0.2828603027
128	0.900140647	0.2821650609
129	0.9015471167	0.2811609044
130	0.9015471167	0.2806725277
131	0.900140647	0.2799956578
132	0.9015471167	0.2790850839
133	0.9015471167	0.278872301
134	0.9029535865	0.2783713712
135	0.900140647	0.2777983015
136	0.9029535865	0.2764943019
137	0.9029535865	0.2762366398
138	0.9043600563	0.2754635262
139	0.9043600563	0.2747749141
140	0.9043600563	0.2740411367
141	0.905766526	0.273058691
142	0.905766526	0.2729711734
143	0.9071729958	0.272085808
144	0.9071729958	0.2710520832
145	0.905766526	0.2703006174
146	0.905766526	0.2693083029
147	0.905766526	0.2692370173
148	0.905766526	0.2686774864
149	0.9071729958	0.2682414626
150	0.9071729958	0.2676481494
151	0.9071729958	0.2676394413
152	0.9071729958	0.2671762293
153	0.9071729958	0.2669355301
154	0.9071729958	0.2661674832
155	0.905766526	0.264724206
156	0.905766526	0.2642595938
157	0.9071729958	0.2639298259
158	0.9085794655	0.263057574
159	0.9085794655	0.2626884017
160	0.9099859353	0.2615851198
161	0.9085794655	0.2608447836
162	0.9085794655	0.2601288114
163	0.9085794655	0.2599200598
164	0.9099859353	0.2592871268
165	0.9099859353	0.2583250778
166	0.9099859353	0.2579096964
167	0.9099859353	0.2577169787
168	0.9099859353	0.2574651974
169	0.9127988748	0.2569801438
170	0.9113924051	0.2565415916
171	0.9099859353	0.2560643344
172	0.9099859353	0.2555943541
173	0.9127988748	0.2549079597
174	0.9113924051	0.2545676244
175	0.9170182841	0.253794805
176	0.9156118143	0.2532325922
177	0.9170182841	0.2527567088
178	0.9142053446	0.2519545578
179	0.9170182841	0.2514934906
180	0.9170182841	0.2505064601
181	0.9184247539	0.2497157783
182	0.9184247539	0.2494511775
183	0.9184247539	0.2489683682
184	0.9184247539	0.2485010928
185	0.9170182841	0.2476349916
186	0.9156118143	0.2467794698
187	0.9198312236	0.2457569525
188	0.9212376934	0.2449593444
189	0.9198312236	0.2439420456
190	0.9198312236	0.2432892491
191	0.9212376934	0.2426848592
192	0.9198312236	0.2421569275
193	0.9226441632	0.2418374086
194	0.9226441632	0.2411539614
195	0.9240506329	0.2393238019
196	0.9226441632	0.2391685394
197	0.9254571027	0.238432679
198	0.9240506329	0.2376972146
199	0.9240506329	0.2371167361
200	0.9226441632	0.236456064
201	0.9240506329	0.2356618752
202	0.9240506329	0.2348722441
203	0.9254571027	0.2339817038
204	0.9254571027	0.2336687438
205	0.9240506329	0.2332015774
206	0.9254571027	0.2324102599
207	0.9282700422	0.2317166742
208	0.929676512	0.2305851961
209	0.929676512	0.2303571889
210	0.929676512	0.2286391024
211	0.929676512	0.2278449973
212	0.929676512	0.2272715131
213	0.929676512	0.2263653088
214	0.929676512	0.2261401066
215	0.929676512	0.2258869031
216	0.929676512	0.2255701352
217	0.929676512	0.2251950195
218	0.929676512	0.2242616232
219	0.9310829817	0.2239479314
220	0.9310829817	0.2235433528
221	0.9310829817	0.2231328618
222	0.9310829817	0.2227215285
223	0.9310829817	0.2223674713
224	0.9310829817	0.2221170256
225	0.9310829817	0.2212321211
226	0.9310829817	0.2209719365
227	0.9310829817	0.2204090793
228	0.9310829817	0.2200021853
229	0.9310829817	0.2194940872
230	0.9324894515	0.2186619535
231	0.9310829817	0.2185259135
232	0.9324894515	0.2179638575
233	0.9338959212	0.2174162196
234	0.9338959212	0.2167103589
235	0.9338959212	0.2161350717
236	0.9338959212	0.2157427493
