iter	Passed	Remaining
0	10	5414
1	20	5098
2	23	3971
3	31	3852
4	46	4607
5	57	4699
6	64	4555
7	78	4817
8	157	8576
9	169	8304
10	199	8865
11	221	9026
12	234	8797
13	248	8643
14	260	8428
15	277	8399
16	287	8179
17	297	7954
18	317	8043
19	330	7943
20	347	7918
21	364	7915
22	376	7800
23	386	7667
24	394	7501
25	401	7324
26	416	7289
27	427	7206
28	436	7088
29	446	6999
30	463	7010
31	475	6954
32	486	6889
33	498	6825
34	509	6770
35	522	6737
36	545	6822
37	560	6810
38	599	7081
39	624	7176
40	655	7334
41	682	7447
42	719	7644
43	795	8248
44	843	8531
45	898	8864
46	1020	9834
47	1060	9983
48	1073	9881
49	1127	10147
50	1241	10927
51	1328	11446
52	1378	11623
53	1400	11571
54	1415	11449
55	1428	11324
56	1446	11245
57	1455	11090
58	1469	10985
59	1484	10887
60	1494	10757
61	1520	10739
62	1555	10789
63	1656	11282
64	1784	11944
65	1838	12090
66	1865	12054
67	1937	12306
68	1961	12253
69	2022	12422
70	2075	12542
71	2178	12950
72	2286	13375
73	2340	13471
74	2364	13401
75	2388	13323
76	2398	13176
77	2468	13356
78	2529	13482
79	2602	13661
80	2636	13636
81	2676	13642
82	2713	13632
83	2740	13571
84	2769	13520
85	2797	13469
86	2827	13420
87	2849	13342
88	2873	13269
89	2915	13280
90	2947	13249
91	2966	13156
92	3001	13137
93	3025	13067
94	3072	13098
95	3106	13074
96	3135	13027
97	3169	13001
98	3208	12996
99	3247	12991
100	3276	12943
101	3306	12900
102	3328	12828
103	3455	13158
104	3515	13225
105	3573	13280
106	3626	13319
107	3673	13333
108	3718	13337
109	3753	13308
110	3771	13218
111	3812	13207
112	3835	13137
113	3863	13082
114	3866	12944
115	3895	12896
116	3919	12829
117	3928	12718
118	3946	12634
119	3961	12546
120	3979	12464
121	3992	12371
122	4015	12307
123	4026	12209
124	4040	12121
125	4055	12038
126	4061	11927
127	4071	11832
128	4090	11762
129	4104	11682
130	4118	11601
131	4132	11522
132	4145	11440
133	4159	11360
134	4175	11288
135	4189	11213
136	4204	11141
137	4221	11073
138	4242	11018
139	4262	10959
140	4278	10893
141	4308	10862
142	4338	10830
143	4383	10836
144	4423	10830
145	4464	10824
146	4501	10809
147	4518	10746
148	4553	10727
149	4591	10713
150	4630	10702
151	4647	10640
152	4699	10657
153	4746	10664
154	4776	10632
155	4815	10618
156	4852	10601
157	4875	10553
158	4910	10531
159	4954	10527
160	4986	10500
161	5024	10483
162	5061	10463
163	5103	10455
164	5129	10413
165	5156	10375
166	5193	10355
167	5232	10340
168	5271	10324
169	5297	10284
170	5323	10241
171	5386	10272
172	5468	10336
173	5532	10364
174	5602	10404
175	5681	10458
176	5714	10427
177	5745	10393
178	5789	10383
179	5829	10363
180	5869	10344
181	5910	10327
182	5946	10300
183	5982	10274
184	6019	10248
185	6036	10191
186	6053	10132
187	6068	10071
188	6086	10015
189	6103	9957
190	6119	9899
191	6138	9846
192	6152	9787
193	6168	9729
194	6185	9674
195	6203	9621
196	6225	9574
197	6240	9517
198	6257	9464
199	6276	9414
200	6295	9365
201	6312	9313
202	6329	9260
203	6347	9210
204	6370	9166
205	6383	9109
206	6397	9055
207	6439	9040
208	6470	9008
209	6485	8956
210	6498	8901
211	6523	8862
212	6536	8807
213	6556	8762
214	6576	8717
215	6589	8664
216	6606	8615
217	6624	8569
218	6641	8521
219	6670	8489
220	6688	8443
221	6715	8409
222	6727	8356
223	6746	8312
224	6778	8284
225	6814	8261
226	6847	8235
227	6890	8220
228	6927	8197
229	6962	8173
230	7019	8173
231	7076	8175
232	7093	8129
233	7114	8087
234	7127	8037
235	7154	8003
236	7195	7984
237	7230	7959
238	7264	7932
239	7296	7905
240	7333	7880
241	7363	7850
242	7399	7825
243	7460	7827
244	7527	7834
245	7593	7840
246	7633	7819
247	7678	7802
248	7717	7779
249	7752	7752
250	7781	7719
251	7818	7694
252	7858	7672
253	7882	7634
254	7908	7598
255	7946	7574
256	7979	7545
257	8040	7541
258	8077	7515
259	8123	7498
260	8160	7472
261	8198	7447
262	8239	7424
263	8270	7393
264	8315	7373
265	8356	7351
266	8389	7321
267	8433	7300
268	8472	7275
269	8504	7244
270	8544	7220
271	8572	7185
272	8617	7165
273	8655	7139
274	8702	7120
275	8745	7097
276	8779	7068
277	8819	7042
278	8860	7018
279	8911	7001
280	8944	6971
281	8971	6935
282	9005	6904
283	9040	6876
284	9075	6846
285	9112	6818
286	9136	6780
287	9176	6754
288	9222	6733
289	9256	6703
290	9289	6671
291	9331	6647
292	9375	6623
293	9415	6597
294	9453	6569
295	9480	6534
296	9517	6505
297	9564	6483
298	9607	6458
299	9661	6441
300	9691	6407
301	9732	6380
302	9771	6352
303	9812	6326
304	9862	6305
305	9906	6280
306	9942	6250
307	9977	6219
308	10024	6196
309	10058	6165
310	10108	6143
311	10131	6104
312	10163	6071
313	10200	6042
314	10237	6012
315	10272	5981
316	10305	5949
317	10334	5914
318	10391	5895
319	10421	5862
320	10463	5835
321	10496	5802
322	10530	5770
323	10561	5736
324	10610	5713
325	10653	5686
326	10684	5652
327	10726	5625
328	10768	5597
329	10812	5570
330	10849	5539
331	10892	5511
332	10923	5477
333	10961	5448
