iter	Accuracy	Logloss
0	0.8101265823	0.6627443815
1	0.8030942335	0.6433175685
2	0.8016877637	0.6256584889
3	0.805907173	0.6062741109
4	0.8241912799	0.5823888915
5	0.8213783404	0.5661202983
6	0.8171589311	0.5519731336
7	0.8241912799	0.5376808797
8	0.8227848101	0.5274996436
9	0.8241912799	0.517716331
10	0.8241912799	0.5124412323
11	0.8185654008	0.5022775454
12	0.8185654008	0.4949780919
13	0.8213783404	0.4913452945
14	0.8143459916	0.4838740584
15	0.8143459916	0.4737683358
16	0.8129395218	0.4691451642
17	0.8157524613	0.463723064
18	0.8171589311	0.459470251
19	0.8171589311	0.4550904919
20	0.8227848101	0.4485266651
21	0.8241912799	0.4449662123
22	0.8241912799	0.4426422957
23	0.8255977496	0.4414473983
24	0.8255977496	0.4369082348
25	0.8326300985	0.4318374962
26	0.8340365682	0.4270772146
27	0.8340365682	0.4226506066
28	0.8340365682	0.4215780147
29	0.8340365682	0.4189673138
30	0.8340365682	0.4173809517
31	0.8368495077	0.4115298375
32	0.8396624473	0.4072845548
33	0.8382559775	0.4050948166
34	0.841068917	0.4039378366
35	0.8424753868	0.4021376466
36	0.8382559775	0.400093502
37	0.841068917	0.3980468004
38	0.841068917	0.3976494686
39	0.841068917	0.3951911296
40	0.8424753868	0.3929654262
41	0.8452883263	0.3911580353
42	0.8452883263	0.3905038284
43	0.8452883263	0.3893906538
44	0.8452883263	0.3870709069
45	0.8466947961	0.3856361596
46	0.8466947961	0.3836097811
47	0.8466947961	0.3820178708
48	0.8481012658	0.380441019
49	0.8481012658	0.3794998619
50	0.8481012658	0.379112577
51	0.8509142053	0.3771257636
52	0.8509142053	0.3756035885
53	0.8509142053	0.3747632274
54	0.8509142053	0.3730549706
55	0.8495077356	0.3713573432
56	0.8495077356	0.3696229017
57	0.8523206751	0.3686550817
58	0.8523206751	0.3684805934
59	0.8523206751	0.365657501
60	0.8537271449	0.3640701617
61	0.8551336146	0.3634428572
62	0.8565400844	0.3624595483
63	0.8579465541	0.3613875912
64	0.8565400844	0.3596726521
65	0.8565400844	0.3576202298
66	0.8565400844	0.3571592306
67	0.8593530239	0.3567151947
68	0.8593530239	0.3544841338
69	0.8593530239	0.3536500661
70	0.8593530239	0.3529496227
71	0.8621659634	0.352632333
72	0.8607594937	0.3519123264
73	0.8607594937	0.3515343341
74	0.8621659634	0.3511478883
75	0.864978903	0.3501932491
76	0.8635724332	0.3482619223
77	0.8635724332	0.3464420303
78	0.864978903	0.3453325504
79	0.864978903	0.3450145834
80	0.864978903	0.3445666519
81	0.864978903	0.343252023
82	0.8677918425	0.3424402598
83	0.8691983122	0.3422529456
